Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation,,,,
Date,Time,μg/m³,μg/m³,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5/24/2016,9:04:00,31.809,33.255,,31.9,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:04:10,26.023,28.915,22.7,32,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:04:20,17.367,18.814,,31.6,,,,,,,,,,,,,,,
5/24/2016,9:04:30,20.289,20.289,,31.1,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:04:40,20.249,23.142,22.7,31.8,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:04:50,17.392,20.291,,31,,,,,,,,,,,,,,,
5/24/2016,9:05:00,54.89,56.335,,32.3,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:05:10,23.012,24.451,22.8,33.7,4.9,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:05:20,34.523,35.961,,33.7,,,,,,,,,,,,,,,
5/24/2016,9:05:30,146.512,149.385,,34.2,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:05:40,71.956,74.834,22.6,33.5,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:05:50,66.184,67.623,,33.6,,,,,,,,,,,,,,,
5/24/2016,9:06:00,48.784,48.784,,34.5,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:06:10,83.281,86.152,22.8,34.3,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:06:20,94.558,94.558,,35,,,,,,,,,,,,,,,
5/24/2016,9:06:30,23.094,23.094,,32.5,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:06:40,20.212,20.212,22.6,32.5,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:06:50,34.705,37.597,,31.9,,,,,,,,,,,,,,,
5/24/2016,9:07:00,17.389,17.389,,31.1,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:07:10,34.731,34.731,22.7,31.6,4.9,1.95,0.8,0.5,,,,,,,,,,,
5/24/2016,9:07:20,23.197,24.647,,30.9,,,,,,,,,,,,,,,
5/24/2016,9:07:30,26.075,27.524,,31.2,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:07:40,28.987,30.437,22.6,31,,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:07:50,43.463,44.912,,31.2,,,,,,,,,,,,,,,
5/24/2016,9:08:00,23.204,24.654,,30.8,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:08:10,34.781,34.781,22.7,31.1,4.9,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:08:20,72.394,73.841,,31.4,,,,,,,,,,,,,,,
5/24/2016,9:08:30,43.459,43.459,,31.2,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:08:40,23.176,24.624,22.6,31.3,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:08:50,57.927,59.375,,31.3,,,,,,,,,,,,,,,
5/24/2016,9:09:00,37.569,39.014,,32.2,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:09:10,31.82,31.82,22.7,31.8,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:09:20,23.178,24.627,,31.2,,,,,,,,,,,,,,,
5/24/2016,9:09:30,17.405,20.306,,30.8,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:09:40,55.087,56.537,22.7,31,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:09:50,31.886,33.335,,31,,,,,,,,,,,,,,,
5/24/2016,9:10:00,46.356,47.805,,31.2,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:10:10,66.574,69.469,22.6,31.6,4.9,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:10:20,17.396,17.396,,31,,,,,,,,,,,,,,,
5/24/2016,9:10:30,17.38,17.38,,31.3,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:10:40,17.394,18.844,22.6,31,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:10:50,49.314,50.764,,30.8,,,,,,,,,,,,,,,
5/24/2016,9:11:00,34.785,34.785,,31,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:11:10,20.301,21.752,22.6,30.8,4.9,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:11:20,26.138,26.138,,30.3,,,,,,,,,,,,,,,
5/24/2016,9:11:30,29.063,29.063,,30,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:11:40,34.831,36.282,22.7,30.5,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:11:50,14.545,16,,29.7,,,,,,,,,,,,,,,
5/24/2016,9:12:00,20.363,21.818,,29.7,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:12:10,20.382,20.382,22.7,29.3,4.9,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:12:20,17.464,17.464,,29.4,,,,,,,,,,,,,,,
5/24/2016,9:12:30,26.174,26.174,,29.8,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:12:40,20.423,23.341,22.6,28.4,,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:12:50,23.359,24.819,,28.1,,,,,,,,,,,,,,,
5/24/2016,9:13:00,17.467,18.923,,29.4,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:13:10,17.461,17.461,22.7,29.5,4.9,1.94,0.8,0.5,,,,,,,,,,,
5/24/2016,9:13:20,20.375,20.375,,29.4,,,,,,,,,,,,,,,
5/24/2016,9:13:30,49.486,49.486,,29.4,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:13:40,20.396,20.396,22.7,29,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:13:50,23.303,24.759,,29.1,,,,,,,,,,,,,,,
5/24/2016,9:14:00,20.371,20.371,,29.5,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:14:10,31.941,33.392,22.8,30.4,4.9,1.94,0.82,0.5,,,,,,,,,,,
5/24/2016,9:14:20,17.426,18.878,,30.3,,,,,,,,,,,,,,,
5/24/2016,9:14:30,26.184,27.639,,29.6,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:14:40,17.461,17.461,22.8,29.5,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:14:50,17.485,17.485,,28.9,,,,,,,,,,,,,,,
5/24/2016,9:15:00,37.828,39.283,,29.5,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:15:10,29.107,30.562,22.8,29.4,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:15:20,14.57,14.57,,29,,,,,,,,,,,,,,,
5/24/2016,9:15:30,26.171,27.625,,29.8,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:15:40,17.461,18.916,22.8,29.5,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:15:50,31.981,33.435,,29.9,,,,,,,,,,,,,,,
5/24/2016,9:16:00,17.431,18.883,,30.2,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:16:10,37.752,40.656,22.8,30.4,4.8,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:16:20,28.996,30.446,,30.9,,,,,,,,,,,,,,,
5/24/2016,9:16:30,34.788,34.788,,31,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:16:40,31.893,31.893,22.8,31,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:16:50,31.996,33.451,,29.7,,,,,,,,,,,,,,,
5/24/2016,9:17:00,37.676,37.676,,31.1,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:17:10,60.519,63.401,22.8,33.1,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:17:20,20.301,21.752,,30.8,,,,,,,,,,,,,,,
5/24/2016,9:17:30,17.417,17.417,,30.5,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:17:40,17.431,17.431,22.8,30.2,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:17:50,23.223,24.674,,30.5,,,,,,,,,,,,,,,
5/24/2016,9:18:00,26.156,27.609,,30,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:18:10,20.318,21.769,22.8,30.5,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:18:20,23.241,23.241,,30.2,,,,,,,,,,,,,,,
5/24/2016,9:18:30,17.408,17.408,,30.7,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:18:40,20.326,20.326,22.8,30.4,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:18:50,11.601,14.501,,30.8,,,,,,,,,,,,,,,
5/24/2016,9:19:00,29.028,30.48,,30.5,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:19:10,23.232,24.684,22.8,30.4,4.9,1.94,0.81,0.5,,,,,,,,,,,
5/24/2016,9:19:20,49.333,50.784,,30.6,,,,,,,,,,,,,,,
5/24/2016,9:19:30,29.031,30.483,,30.5,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:19:40,23.223,24.674,22.8,30.5,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:19:50,20.342,21.795,,30.1,,,,,,,,,,,,,,,
5/24/2016,9:20:00,23.202,23.202,,30.8,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:20:10,20.295,21.745,22.9,31,4.8,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:20:20,17.403,20.304,,30.8,,,,,,,,,,,,,,,
5/24/2016,9:20:30,17.419,20.322,,30.5,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:20:40,78.329,81.23,22.8,30.7,,1.96,0.81,0.5,,,,,,,,,,,
5/24/2016,9:20:50,20.299,20.299,,30.9,,,,,,,,,,,,,,,
5/24/2016,9:21:00,46.258,49.149,,32,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:21:10,25.966,25.966,22.8,32.7,4.9,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:21:20,31.826,33.273,,31.7,,,,,,,,,,,,,,,
5/24/2016,9:21:30,184.873,184.873,,32.3,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:21:40,146.406,147.841,22.8,34.4,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:21:50,28.745,28.745,,34,,,,,,,,,,,,,,,
5/24/2016,9:22:00,48.93,50.369,,33.5,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:22:10,54.57,56.006,22.8,34.2,4.9,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:22:20,206.514,206.514,,34.7,,,,,,,,,,,,,,,
5/24/2016,9:22:30,102.945,104.375,,35.6,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:22:40,80.181,80.181,22.9,35.2,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:22:50,125.757,128.615,,35.7,,,,,,,,,,,,,,,
5/24/2016,9:23:00,165.376,166.802,,36.4,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:23:10,248.752,250.182,22.9,35.6,4.8,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:23:20,65.879,67.312,,35.1,,,,,,,,,,,,,,,
5/24/2016,9:23:30,85.941,88.805,,35,,,,,1,0,0.02,1,,,,,,,
5/24/2016,9:23:40,60.226,61.66,22.8,34.7,,1.95,0.81,0.5,,,,,,,,,,,
5/24/2016,9:23:50,109.153,110.589,,34.2,,,,,,,,,,,,,,,
5/24/2016,9:24:00,74.701,76.138,,34.1,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:24:10,63.314,64.753,22.8,33.6,4.8,1.94,0.82,0.5,,,,,,,,,,,
5/24/2016,9:24:20,86.466,89.348,,33.1,,,,,,,,,,,,,,,
5/24/2016,9:24:30,46.105,46.105,,33.2,,,,,1,0,0.01,1,,,,,,,
5/24/2016,9:24:40,86.583,88.026,22.9,32.6,,1.95,0.82,0.5,,,,,,,,,,,
5/24/2016,9:24:50,23.127,24.572,,32,,,,,,,,,,,,,,,
